author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
Alberto Maria Metelli,Exploiting environment configurability in reinforcement learning.,"Polytechnic University of Milan, Italy",2022,Null,"https://doi.org/10.3233/FAIA361, https://hdl.handle.net/10589/170616","2022, IOS Press",Null,Null,Null,361,Null,Null,Null,Null,Null,Null,Null,Null,"978-1-64368-362-1, 978-1-64368-363-8",Frontiers in Artificial Intelligence and Applications,Null,Null
Markus Aleksy,Realizing the leasing concept in distributed systems: the CORBA experience.,"Tokyo Denki University, Japan",2007,Null,"https://ci.nii.ac.jp/naid/500000450913, http://id.ndl.go.jp/bib/000009979147",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Michael A. Curth,Planspieltechnik und Computer-based-Training zur Schulung von Einkäufern im Handel.,Null,1989,1-370,https://d-nb.info/891654135,"Eul, Germany",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-89012-177-2,Null,Null,Null
Eberhard E. Wedekind,Informationsmanagement in der Organisationsplanung.,Null,1988,1-240,https://d-nb.info/880936800,Dt. Univ.-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8244-0003-4,Null,Null,Null
Peter F. Tropschuh,Rechnerunterstützung für das Projektieren mit Hilfe eines wissensbasierten Systems.,Null,1989,1-141,https://d-nb.info/890277257,Hanser,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-446-15577-0,Null,Null,Null
Jan Sbresny,Fehlerquellen in raumbezogenen Informationssystemen: Quantifizierung und Minimierung am Beispiel des niedersächsischen Informationssystems ; mit 7 Tabellen.,Null,1997,1-132,https://d-nb.info/953963667,Schweizerbart,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Detlef F. Pape,"Logistikgerechte PPS-Systeme: Konzeption, Aufbau, Umsetzung.",Null,1990,1-185,https://d-nb.info/900307455,Verlag TÜV Rheinland,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-88585-788-4,Null,Null,Null
Veronika Schaeffler,Wissensbasierte Planung einer Krankenhausverpflegung dargestellt am Beispiel der Diätverpflegung für Diabetiker.,"Technical University Munich, Germany",1995,1-167,https://d-nb.info/944429890,GSF-Forschungszentrum für Umwelt und Gesundheit,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Uwe Dräger,Ansätze zur Unterstützung der oberen Führungsebene durch wissensbasierte Planungs- und Kontrollsysteme.,Null,1995,1-143,https://d-nb.info/943539935,Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8265-5058-4,Null,Null,Null
Helmut Degen,Kundenorientierte Softwareproduktion.,"Free University of Berlin, Dahlem, Germany",1999,1-454,https://d-nb.info/95720602X,Dt. Univ.-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8244-0474-2,Null,Null,Null
Gerhard Rigoll,Algorithmen der Sprachverarbeitung zur Entwicklung eines vollsynthetischen Sprachausgabesystems.,"University of Duisburg-Essen, Germany",1991,1-321,https://d-nb.info/910924112,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-53870-7,Null,Null,Null
Christian Bierwirth,Flowshop Scheduling mit parallelen genetischen Algorithmen: eine problemorientierte Analyse genetischer Suchstrategien.,Null,1993,1-233,https://d-nb.info/931740096,Dt. Univ.-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8244-2051-3,Null,Null,Null
Kamill Panitzek,Mobile Service Provision in Harsh Environments.,"TU Darmstadt, Germany",2016,Null,"https://www.grin.com/document/342295, https://nbn-resolving.org/urn:nbn:de:101:1-201611101616, https://nbn-resolving.org/urn:nbn:de:101:1-2019061104403644226701, https://d-nb.info/1118727479, https://d-nb.info/1188243519",GRIN Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Joachim Weickert,Anisotropic diffusion in image processing.,Null,1998,1-170,https://d-nb.info/952577437,Teubner,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-519-02606-8,Null,Null,Null
Clino Vallone,Der vernetzte Manager: intelligente Nutzung des PC am Arbeitsplatz.,Null,1992,1-215,https://d-nb.info/911214143,Verlag Industrielle Organisation,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-85743-960-5,Null,Null,Null
Georg Schneider 0002,Virtual Team Assistant: intelligente Assistenzsysteme für die automatisierte Vorgangsbearbeitung.,Null,1999,1-211,https://d-nb.info/956598889,Deutscher Universitäts-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8244-2124-4,Null,Null,Null
Evelina Koycheva,"Entwurfsbegleitende Leistungsanalyse mit UML, MARTE und generalisierten Netzen.","TU Dresden, Germany",2013,1-305,https://d-nb.info/1028143168,Oldenbourg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-486-71526-2,Null,Null,Null
"Regina Fischer 0001, Marlies Rogalski",Datenbankgestütztes Kosten- und Erlöscontrolling: Konzept und Realisierung einer entscheidungsorienerten Erfolgsrechnung; 2. überarbeitete Auflage.,Null,1995,1-306,https://d-nb.info/94263554X,Gabler,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-409-22118-4,Null,Null,Null
Norbert Drescher,Universalprozessoren und ihre Realisierung.,Null,1990,1-221,https://d-nb.info/900263938,Hüthig,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-7785-1947-9,Null,Null,Null
Guido Wirtz,Meander: ein graph-basierter Ansatz zur Unterstützung der Konstruktion explizit paralleler Programme für Parallelrechner mit verteiltem Speicher.,"University of Siegen, Germany",1998,1-175,https://d-nb.info/953295192,Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8265-3666-3,Null,Null,Null
Franziska Klügl,"Multiagentensimulation: Konzepte, Werkzeuge, Anwendungen.",Null,2001,1-234,https://d-nb.info/96173972X,Addison-Wesley,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8273-1790-2,Null,Null,Null
Thomas Pötsch,Future mobile transport protocols: adaptive congestion control for unpredictable cellular networks.,Null,2016,1-195,https://d-nb.info/1103689096,Springer Vieweg,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-658-14814-0,Null,Null,Null
Dietrich Kuske,Contributions to a trace theory beyond Mazurkiewicz traces.,"Dresden University of Technology, Germany",2000,1-181,https://d-nb.info/961225726,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Hagen Reuter,Zur Identifikation nichtlinearer Systemmodelle mit wenig A-priori-Informationen.,Null,1995,1-110,https://d-nb.info/944884962,VDI-Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-18-347108-9,Null,Null,Null
"Ingo Engert-Oostingh, Claudia Helena Breitfuss-Horner, Fritz Schweiger",Fachdidaktische Studien II.,"University of Salzburg, Austria",2016,1-152,https://d-nb.info/1096344599,Shaker Verlag,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8440-4276-4,Null,Null,Null
Christoph Knieke,Managed Evolution of Automotive Software Product Line Architectures.,"Clausthal University of Technology, Clausthal-Zellerfeld, Germany",2019,Null,"http://www.dr.hut-verlag.de/978-3-8439-4205-8.html, https://nbn-resolving.org/urn:nbn:de:101:1-2019110122350057754631, https://d-nb.info/1198542608",Verlag Dr. Hut,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Ulrike Reiner,Anfragesprachen für Informationssysteme.,"Technical University of Berlin, Germany",1991,1-237,https://d-nb.info/920167926,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-925474-11-8,Null,Null,Null
Markus Lohrey,Computational and logical aspects of infinite monoids.,"University of Stuttgart, Germany",2003,1-13,https://d-nb.info/968928331,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
Karin Dollhausen,Technik - Konstruktionen: neue Technologien als soziologisches Theorieproblem.,"RWTH Aachen, Germany",1997,1-152,https://d-nb.info/949388432,Centaurus-Verlag-Ges.,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-8255-0111-6,Null,Null,Null
Eva Köhl,Dezentralisierung betrieblicher EDV-Systeme.,"RWTH Aachen University, Germany",1994,1-144,https://d-nb.info/944058914,Verlag der Augustinus-Buchhandlung,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-86073-243-4,Null,Null,Null
Martin Käppner,Computergestützte Steuerungs- und Positionierverfahren für Elektrohängebahnsysteme.,Null,1995,1-138,https://d-nb.info/943235391,Verlag Praxiswissen,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-929443-24-0,Null,Null,Null
Günter Wohlers,Schuldnerberatung im Wandel: von der traditionellen Sozialarbeit zur computergestützten Dienstleistung.,Null,1997,1-213,https://d-nb.info/950243531,Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-8265-2389-X,Null,Null,Null
Frank Ohlhaver,Zur Etablierung der privaten Computerhandhabung: eine Grundlagenstudie am Fall der Computerbenutzung Jugendlicher.,Null,1996,1-288,https://d-nb.info/945700849,Lang,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-631-49726-1,Null,Null,Null
Rolf-Jürgen Schlenkrich,Leitfaden zum Aufbau einer Fertigungsdatenbank für Maschinenbauunternehmen.,Null,1995,Null,https://d-nb.info/943977541,Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8265-5110-9,Null,Null,Null
Torbjørn Nordgård,A GB related parser for Norwegian.,Null,1993,1-331,https://d-nb.info/930298241,Lang,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-906750-65-1,Null,Null,Null
Eberhard Kurz,Projektierungsverfahren für technische Software dargestellt an wissensbasierten Systemen.,University of Stuttgart,1996,1-129,https://d-nb.info/948153075,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3-540-61426-5,Null,Null,Null
Wolfgang Roßmann,"Rechnergestützter Layoutentwurf von Hybridschaltungen: Widerstandsberechnung, Entwurfsschritte, Layoutüberprüfung.",Null,1989,1-134,https://d-nb.info/881459763,Springer,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-540-50655-3,Null,Null,Null
Michael Banf,Making the Visual World Audible - Auditory Image Understanding for the Visually Impaired Based on a Modular Computer Vision Sonification Model.,Null,2013,1-286,"https://nbn-resolving.org/urn:nbn:de:101:1-20140428791, https://d-nb.info/1044175249, https://d-nb.info/1050355423",Shaker,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,978-3-8440-2399-2,Null,Null,Null
